Prompt_ID,Test_Type,Description,Tool_Call
1,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running and models are loaded. Input: POST /api/login/ with a registered driver's face image. Expected: 200 status code with driver_id, driver_name, and age in the response. Pass if the response matches the expected driver details and the last_seen field in the database is updated. Fail if the status code is not 200 or the details are incorrect.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_1"", ""type"": ""function"", ""function"": {""name"": ""post_driver_login"", ""arguments"": ""{\""driver_id\"": null, \""image\"": \""<base64_encoded_image>\""}""}}]}"
2,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running and models are loaded. Input: POST /api/login/register with a new driver's name, age, and base64-encoded face image. Expected: 200 status code with a pending_id returned and driver_id = null. Pass if the pending_id is returned and no database record is created yet. Fail if the status code is not 200 or if a database record is prematurely created.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_2"", ""type"": ""function"", ""function"": {""name"": ""post_driver_registration"", ""arguments"": ""{\""name\"": \""John Doe\"", \""age\"": 30, \""image_base64\"": \""<base64_encoded_image>\""}""}}]}"
3,End-to-End Testing,"Precondition: Ensure a valid pending_id is available from a previous registration. Input: POST /api/login/verify-dl with the pending_id and a valid driving licence photo. Expected: 200 status code with driver_id created and dl_number extracted. Pass if the driver is created in the database with dl_verified = true. Fail if the status code is not 200 or the database is not updated correctly.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_3"", ""type"": ""function"", ""function"": {""name"": ""post_dl_verification"", ""arguments"": ""{\""pending_id\"": \""<pending_id>\"", \""image\"": \""<base64_encoded_dl_image>\""}""}}]}"
4,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running. Input: Connect to ws://<host>/api/stream?driver_id=<id> and send a JPEG frame. Expected: Receive JSON metrics and an annotated JPEG with a width of 980 px. Pass if the metrics and JPEG are received as expected. Fail if the connection does not return the expected output.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_4"", ""type"": ""function"", ""function"": {""name"": ""connect_stream_websocket"", ""arguments"": ""{\""driver_id\"": \""<driver_id>\"", \""frame\"": \""<jpeg_frame>\""}""}}]}"
5,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running. Input: POST /api/sessions/start with a driver_id. Expected: 200 status code with session_id, start_time, and status: 'active'. Pass if the session is created with the correct details. Fail if the status code is not 200 or the session details are incorrect.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_5"", ""type"": ""function"", ""function"": {""name"": ""post_start_session"", ""arguments"": ""{\""driver_id\"": \""<driver_id>\""}""}}]}"
6,End-to-End Testing,"Precondition: Ensure an active session exists. Input: POST /api/sessions/end with the session_id. Expected: 200 status code with end_time and status: 'ended'. Pass if the session is updated correctly in the database. Fail if the status code is not 200 or the session is not ended.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_6"", ""type"": ""function"", ""function"": {""name"": ""post_end_session"", ""arguments"": ""{\""session_id\"": \""<session_id>\""}""}}]}"
7,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running. Input: GET /api/safety-score/?driver_id=<id>&date_from=YYYY-MM-DD&date_to=YYYY-MM-DD. Expected: Array of daily scores within the specified date range. Pass if the scores are returned correctly. Fail if the response is incorrect or missing data.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_7"", ""type"": ""function"", ""function"": {""name"": ""get_safety_score_range"", ""arguments"": ""{\""driver_id\"": \""<driver_id>\"", \""date_from\"": \""2026-04-01\"", \""date_to\"": \""2026-04-30\""}""}}]}"
8,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running. Input: POST /api/demo/reset-driver with a valid driver_id and DEMO_RESET_ENABLED=1. Expected: Driver record is deleted from MongoDB. Pass if the driver record is removed. Fail if the status code is not 200 or the record is not deleted.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_8"", ""type"": ""function"", ""function"": {""name"": ""post_demo_reset_driver"", ""arguments"": ""{\""driver_id\"": \""<driver_id>\""}""}}]}"
9,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running. Input: GET /health/models?deep=true. Expected: Detailed model status with all subsystems OK. Pass if the response indicates all models are loaded correctly. Fail if any model status is not OK.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_9"", ""type"": ""function"", ""function"": {""name"": ""get_model_health_deep"", ""arguments"": ""{}""}}]}"
10,End-to-End Testing,"Precondition: Ensure the ML Service and API Gateway are running. Input: POST /api/login/finalize-dl with verdict=valid, dl_number, ocr_text. Expected: 200 status code with driver created in DB. Pass if the driver is created with correct details. Fail if the status code is not 200 or the driver is not created.","{""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_10"", ""type"": ""function"", ""function"": {""name"": ""post_finalize_dl"", ""arguments"": ""{\""pending_id\"": \""<pending_id>\"", \""verdict\"": \""valid\"", \""dl_number\"": \""<dl_number>\"", \""ocr_text\"": \""<ocr_text>\""}""}}]}"
