"Prompt_ID","Test_Type","Description","Tool_Call"
"1","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a valid JPEG image of a registered driver's face to /api/login/. Expected: Response code 200 with driver_id, driver_name, and age in the response body. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_1"",""type"":""function"",""function"":{""name"":""post_driver_login"",""arguments"":""{\""image\"": \""<base64_encoded_image>\""}""}}]}"
"2","End-to-End Testing","Precondition: Ensure the ML Service is running and ArcFace model is missing. Input: POST a valid JPEG image to /api/login/. Expected: Response code 503 indicating the ArcFace model is not loaded. PASS if the response code is 503; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_2"",""type"":""function"",""function"":{""name"":""post_driver_login_missing_model"",""arguments"":""{\""image\"": \""<base64_encoded_image>\""}""}}]}"
"3","End-to-End Testing","Precondition: Ensure a pending registration exists with a valid pending_id. Input: POST a valid JPEG image of a driving license to /api/login/verify-dl with the pending_id. Expected: Response code 200 with driver_id created and dl_number extracted. PASS if the response matches the expected output; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_3"",""type"":""function"",""function"":{""name"":""post_verify_dl"",""arguments"":""{\""pending_id\"": \""<pending_id>\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"4","End-to-End Testing","Precondition: Ensure the DEMO_RESET_ENABLED environment variable is set to 1. Input: POST a request to /api/demo/reset-driver with a valid driver_id. Expected: Response code 200 and the driver record is deleted from MongoDB. PASS if the driver is deleted and response code is 200; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_4"",""type"":""function"",""function"":{""name"":""post_demo_reset_driver"",""arguments"":""{\""driver_id\"": \""ABC123DEF\""}""}}]}"
"5","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: Connect to ws://<host>/api/stream?driver_id=<id> and send a JPEG frame. Expected: Receive JSON metrics and an annotated JPEG with HUD overlay. PASS if both JSON and JPEG are received correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_5"",""type"":""function"",""function"":{""name"":""connect_stream_websocket"",""arguments"":""{\""driver_id\"": \""<id>\"", \""frame\"": \""<base64_encoded_frame>\""}""}}]}"
"6","End-to-End Testing","Precondition: Ensure a pending registration exists with a valid pending_id. Input: Connect to ws://<host>/api/login/ws/dl-verify with the pending_id and stream frames. Expected: Registration status changes to 'completed' and the connection closes with code 1000. PASS if the status is 'completed' and the connection closes correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_6"",""type"":""function"",""function"":{""name"":""connect_dl_verify_websocket"",""arguments"":""{\""pending_id\"": \""<pending_id>\""}""}}]}"
"7","End-to-End Testing","Precondition: Ensure the ML Service is running and the temporal_attention_lstm.pth model is loaded. Input: Start a real-time video stream and look away consistently. Expected: LSTM predicts distraction and alert_type is 'distraction'. PASS if the alert is triggered correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_7"",""type"":""function"",""function"":{""name"":""start_stream_and_test_distraction"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"8","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/safety-score/compute with a valid driver_id and score_date. Expected: Response code 200 and a computed safety score based on the formula. PASS if the score is computed correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_8"",""type"":""function"",""function"":{""name"":""post_compute_safety_score"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""score_date\"": \""2026-04-09\""}""}}]}"
"9","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/sessions/start with a valid driver_id. Expected: Response code 200 with session_id, start_time, and status 'active'. PASS if the session starts correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_9"",""type"":""function"",""function"":{""name"":""post_start_session"",""arguments"":""{\""driver_id\"": \""ABC123\""}""}}]}"
"10","End-to-End Testing","Precondition: Ensure the ML Service is running and all model files are loaded. Input: POST a request to /api/sessions/end with a valid session_id. Expected: Response code 200 with end_time and status 'ended'. PASS if the session ends correctly; FAIL otherwise.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_10"",""type"":""function"",""function"":{""name"":""post_end_session"",""arguments"":""{\""session_id\"": \""<session_id>\""}""}}]}"
